vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
2267,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2267,Uroplectes carinatus,South Africa,Northern Cape,Louievale Farm,-30.66089,22.127438,2016-12-23,Tippett RM
2268,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2268,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.66049,22.123289,2016-12-24,Tippett RM
2269,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2269,Parabuthus capensis,South Africa,Northern Cape,Louievale Farm,-30.66049,22.123289,2016-12-24,Tippett RM
2270,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2270,Uroplectes carinatus,South Africa,Northern Cape,Louievale Farm,-30.66049,22.123289,2016-12-24,Tippett RM
2271,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2271,Parabuthus granulatus,South Africa,Northern Cape,Louievale Farm,-30.66049,22.123289,2016-12-24,Tippett RM
2272,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2272,Parabuthus laevifrons,South Africa,KwaZulu-Natal,Louievale Farm,-30.59765,22.117581,2016-12-25,Tippett RM
2273,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2273,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.66958,22.128626,2016-12-26,Tippett RM
2274,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2274,Parabuthus granulatus,South Africa,Northern Cape,Louievale Farm,-30.66958,22.128626,2016-12-26,Tippett RM
2275,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2275,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.66958,22.128626,2016-12-26,Tippett RM
2276,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2276,Parabuthus capensis,South Africa,Northern Cape,Louievale Farm,-30.66236,22.128492,2016-12-26,Tippett RM
2277,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2277,Uroplectes carinatus,South Africa,Northern Cape,Louievale Farm,-30.66236,22.128492,2016-12-26,Tippett RM
2278,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2278,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.62958,22.099905,2016-12-27,Tippett RM
2279,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2279,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.6299,22.101413,2016-12-27,Tippett RM
2280,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2280,Uroplectes gracilior,South Africa,Northern Cape,Louievale Farm,-30.6299,22.101413,2016-12-27,Tippett RM
2281,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2281,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.60411,22.121298,2016-12-27,Tippett RM
2282,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2282,Parabuthus capensis,South Africa,Northern Cape,Louievale Farm,-30.61531,22.1261,2016-12-28,Tippett RM
2283,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2283,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.61531,22.1261,2016-12-28,Tippett RM
2284,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2284,Uroplectes gracilior,South Africa,Northern Cape,Louievale Farm,-30.59591,22.117484,2016-12-28,Tippett RM
2285,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2285,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.58986,22.10565,2016-12-28,Tippett RM
2286,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2286,Parabuthus granulatus,South Africa,Northern Cape,Louievale Farm,-30.58986,22.10565,2016-12-28,Tippett RM
2287,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2287,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.58986,22.10565,2016-12-28,Tippett RM
2288,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2288,Parabuthus schlechteri,South Africa,Northern Cape,Louievale Farm,-30.65517,22.063089,2017-01-01,Tippett RM
2289,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2289,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.65517,22.063089,2017-01-01,Tippett RM
2290,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2290,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.65517,22.063089,2017-01-01,Tippett RM
2291,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2291,Opistophthalmus carinatus,South Africa,Northern Cape,Louievale Farm,-30.65517,22.063089,2017-01-01,Tippett RM
2757,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2757,Uroplectes gracilior,South Africa,Northern Cape,Louievale Farm,-30.66242,22.116658,2016-12-23,Tippett RM
