vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
130,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-130,Hadogenes minor,South Africa,Northern Cape,Nieuwoudtville Wildflower Reserve,-31.36596,19.155521,2009-03-08,Grundlingh Felicity
131,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-131,Hadogenes minor,South Africa,Northern Cape,Nieuwoudtville Wildflower Reserve,-31.36596,19.155521,2004-09-04,Grundlingh Felicity
332,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-332,Hadogenes minor,South Africa,Western Cape,Wolfberg,-32.47604,19.263153,2010-12-09,Basson Handre Renier
333,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-333,Hadogenes minor,South Africa,Western Cape,Melkboom,-31.82847,18.659806,2013-03-01,Basson Handre Renier
564,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-564,Hadogenes minor,South Africa,Western Cape,On R364 East of Clanwilliam,-32.13973,18.957252,2014-06-27,Bester Paul
567,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-567,Hadogenes minor,South Africa,Western Cape,Gifberg,-31.76915,18.705339,2014-06-28,Bester Paul
640,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-640,Hadogenes minor,South Africa,Western Cape,Karookop,-32.17136,18.90438,2014-09-13,Basson Handre
641,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-641,Hadogenes minor,South Africa,Western Cape,Carltonhill,-31.82993,18.655729,2014-10-04,Basson Handre
642,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-642,Hadogenes minor,South Africa,Western Cape,Trawal,-31.83521,18.666286,2014-10-04,Bester Paul
748,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-748,Hadogenes minor,South Africa,Western Cape,Ouberg Waterfall,-31.78086,18.888051,2014-12-11,Basson Handre
761,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-761,Hadogenes minor,South Africa,Western Cape,Augsburg,-32.18142,18.913993,2014-11-10,Basson Handre
1225,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-1225,Hadogenes minor,South Africa,Western Cape,Gifberg,-31.77818,18.770291,2016-01-10,Bester Paul
1347,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-1347,Hadogenes minor,South Africa,Western Cape,Bushmanskloof,-32.11728,19.107134,2016-03-07,van Dyk Zenobia
1598,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-1598,Hadogenes minor,South Africa,Western Cape,Piketberg Mountain,-32.80774,18.748341,2016-06-16,Bester Paul
2235,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2235,Hadogenes minor,South Africa,Western Cape,Kromrivier Cederberg Park,-32.53905,19.280509,2016-12-24,Bester Paul
2237,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2237,Hadogenes minor,South Africa,Western Cape,Kromrivier Cederberg Park,-32.54108,19.302908,2016-12-24,Bester Paul
2256,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2256,Hadogenes minor,South Africa,Western Cape,Near Kliphuis Campsite,-32.14624,18.947961,2013-07-13,Grundlingh F
2578,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2578,Hadogenes minor,South Africa,Western Cape,Bushmanskloof,-32.11728,19.107134,2017-06-09,van Dyk Zenobia
2587,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2587,Hadogenes minor,South Africa,Western Cape,Klein Kobee,-31.519,19.035,2017-06-21,Willemse Salome
2963,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2963,Hadogenes minor,South Africa,Western Cape,Piket Bo-Berg,-32.80901,18.691844,2018-01-21,Bester Paul; Andries Cilliers
2966,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2966,Hadogenes minor,South Africa,Western Cape,Piket Bo-Berg,-32.85663,18.736509,2018-01-21,Bester Paul; Andries Cilliers
3065,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3065,Hadogenes minor,South Africa,Western Cape,Koningskop,-32.49894,18.852276,2018-02-10,Cilliers Andries
3156,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3156,Hadogenes minor,South Africa,Western Cape,"farm Voelvllei, near Wuppertal",-32.33332,19.278139,2018-03-31,West Anthony West
3160,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3160,Hadogenes minor,South Africa,Western Cape,"Eikelaan farm, Paardeberg, around solar panel installation",-33.56031,18.79549,2018-04-07,Oschadleus HD
3283,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3283,Hadogenes minor,South Africa,Western Cape,Piket Bo-Berg,-32.79456,18.644687,2018-05-12,Bester Paul
3721,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3721,Hadogenes minor,South Africa,Western Cape,Piket-Bo-Berg,-32.80772,18.654846,2019-01-04,Bester Paul; Andries Cilliers; Ian Engelbrecht
3736,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3736,Hadogenes minor,South Africa,Western Cape,"Fynbos Estate, top of hill",-33.56023,18.795441,2019-02-22,Oschadleus HD
3814,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3814,Hadogenes minor,South Africa,Western Cape,Kliprand,-30.63211,18.699868,2019-04-20,Willemse Salome
3833,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3833,Hadogenes minor,South Africa,Western Cape,Koningskop Campsite,-32.49929,18.850507,2015-07-13,van Dyk Zenobia
4281,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4281,Hadogenes minor,South Africa,Western Cape,Gifberg,-31.77859,18.746683,2020-05-09,Willemse Salome
4062,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4062,Hadogenes minor,South Africa,Western Cape,Waterfall Farm,-32.62044,19.072646,2013-11-12,Rijsdijk I
4240,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-4240,Hadogenes minor,South Africa,Western Cape,unknown,-31.81695,18.925003,2020-03-14,van Dyk Zenobia
