vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
16,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-16,Hadogenes troglodytes,South Africa,Limpopo,Farm Alicedale Tshipise Limpopo,-22.62407,30.140132,2012-10-20,Wilkinson J H
54,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-54,Hadogenes troglodytes,South Africa,Limpopo,Balule Nature Reserve,-24.25745,30.966447,2011-04-15,Jessnitz V
55,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-55,Hadogenes troglodytes,South Africa,Limpopo,Balule Nature Reserve,-24.25745,30.966447,2011-04-15,Jessnitz V
79,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-79,Hadogenes troglodytes,South Africa,Limpopo,Venetia Nature Reserve,-22.354,29.301,2011-10-23,Jessnitz V
93,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-93,Hadogenes troglodytes,South Africa,Mpumalanga,Near Mapangubwe/Venetia mine,-22.31074,29.445819,2011-05-25,Verburgt Luke
200,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-200,Hadogenes troglodytes,South Africa,Limpopo,"Selati Game Reserve, EcoTraining Camp.",-24.0228,30.6471,2013-04-20,van Huyssteen Ryan
230,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-230,Hadogenes troglodytes,South Africa,Mpumalanga,"Ingwelala, Umbabat Game Reserve, Greater Kruger National Park",-25,31,2013-03-29,van Huyssteen Ryan
233,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-233,Hadogenes troglodytes,South Africa,Limpopo,"Makuleke/Pafuri Area, Kruger National Park",-22.36,31.15,2013-09-09,"van Huyssteen, Ryan"
236,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-236,Hadogenes troglodytes,South Africa,Limpopo,"Makuleke/Pafuri Area, Kruger National Park",-22.36,31.15,2013-09-09,"van Huyssteen, Ryan"
243,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-243,Hadogenes troglodytes,South Africa,Mpumalanga,Hans Hoheisen Wildlife Research Station,-24.47997,31.384805,2009-02-23,Allison Sharp
249,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-249,Hadogenes troglodytes,South Africa,Mpumalanga,Manyeleti Game Reserve,-24.605,31.47,2009-06-02,Allison Sharp
253,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-253,Hadogenes troglodytes,South Africa,Limpopo,Mohlabetsi Safari Lodge,-24.25755,30.966333,2011-04-15,Allison Sharp;Vaughan Jessnitz
257,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-257,Hadogenes troglodytes,South Africa,Limpopo,Mohlabetsi Safari Lodge,-24.25755,30.966333,2010-11-16,Allison Sharp;Vaughan Jessnitz
262,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-262,Hadogenes troglodytes,South Africa,Limpopo,Venetia Game Reserve,-22.40741,29.21,2011-09-20,Allison Sharp;Vaughan Jessnitz
263,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-263,Hadogenes troglodytes,South Africa,Limpopo,Venetia Game Reserve,-22.40741,29.21,2011-08-31,Allison Sharp;Vaughan Jessnitz
343,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-343,Hadogenes troglodytes,South Africa,Limpopo,Taaibos River Lodge in Welgevoden Game reserve. Waterberg area,-24.45611,28.063055,2013-12-05,Auret Nathan
358,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-358,Hadogenes troglodytes,South Africa,Limpopo,Raptors View Wildlife Estate,-24.3875,30.945,2009-03-20,Solomon D
385,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-385,Hadogenes troglodytes,South Africa,Limpopo,Farm Alicedale,-22.63445,30.106744,2013-06-14,Fourie J.B.
523,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-523,Hadogenes troglodytes,South Africa,Limpopo,farm Duna; Ellisras district,-23.74377,28.090805,2010-06-24,Heymans J.A; Joubert Heymans
624,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-624,Hadogenes troglodytes,South Africa,Limpopo,Madikwe,-24.8,26.463661,2013-02-24,Booysen M.
689,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-689,Hadogenes troglodytes,South Africa,Limpopo,on farm Dombeya-  24kms south of town,-23.86386,27.705652,2014-11-08,Webb P
741,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-741,Hadogenes troglodytes,South Africa,Limpopo,"Medike Mountain Sanctuary, Soutpansberg",-22.98713,29.614583,2014-11-11,van Huyssteen Ryan
797,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-797,Hadogenes troglodytes,South Africa,North West,"Phiri hills, Madikwe Game Reserve",-24.81751,26.24369,2015-01-10,ENGELBRECHT I; A. Mathie; A. Donaldson; M. Leitner; D. Tumane
802,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-802,Hadogenes troglodytes,South Africa,North West,"Kromdraai ridge, Madikwe Game Reserve",-24.78636,26.46159,2015-01-10,ENGELBRECHT I; A. Mathie; A. Donaldson; M. Leitner
804,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-804,Hadogenes troglodytes,South Africa,North West,"Tau gate hills, Madikwe Game Reserve",-24.69174,26.19738,2015-01-10,ENGELBRECHT I; A. Mathie; A. Donaldson; M. Leitner; D. Tumane
819,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-819,Hadogenes troglodytes,South Africa,Limpopo,"Leopard Rock Nature Reserve, Underneath bricks in bushveld with rocky outcrops",-24.09381,30.835195,2014-02-07,Rode Brian Andrew; Chantelle Venter
821,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-821,Hadogenes troglodytes,South Africa,Limpopo,"Entabeni upper escarpment, Viewsite South",-24.19963,28.654681,2015-01-22,Jessnitz V
