vmNumber,institutionCode,URL,scientificName,country,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,recordedBy
83,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-83,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Hluhluwe-Imfolozi,-28.35756,31.861724,2012-07-10,Evans Nick
576,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-576,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Shayamoya Game Lodge,-27.36018,31.823272,2007-12-13,Tippett Ryan Matthew
593,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-593,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Ithala nature reserve,-27.48573,31.314811,2008-01-05,de Beer Len
676,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-676,Hadogenes zuluanus,South Africa,KwaZulu-Natal,"Thanda Private Game Reserve, Ntibane Camp",-27.85531,32.07982,2010-10-27,Tippett Ryan Matthew
686,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-686,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Shayamoya Game Lodge,-27.36018,31.823272,2009-03-16,Tippett Ryan Matthew
1146,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-1146,Hadogenes zuluanus,South Africa,KwaZulu-Natal,"Doornkraal, Ithala-wildreservaat",-27.51249,31.203902,2007-07-01,du Plessis D
2370,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2370,Hadogenes zuluanus,South Africa,KwaZulu-Natal,ZuluNyala Heritage Safari Lodge,-27.90175,32.274333,2017-01-30,Jennings Colette; Paul Jennings
2631,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2631,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Shayamoya Game Lodge,-27.36018,31.823272,2008-08-31,Tippett RM
2870,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2870,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Amakhosi Game Reserve,-27.66116,31.590666,2017-11-28,Aiston G.
2881,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-2881,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Somkhanda Game Reserve,-27.69781,31.964378,2017-12-14,Henriquez Luana
3113,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3113,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Amakhosi Game Reserve,-27.6444,31.597336,2018-02-25,Tippett RM
3280,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3280,Hadogenes zuluanus,South Africa,KwaZulu-Natal,"Ithala Game Reserve, Ntshondwe accommodation",-27.54453,31.280908,2018-03-18,Paasikunnas Timo
3303,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3303,Hadogenes zuluanus,South Africa,KwaZulu-Natal,Amakhosi Game Reserve,-27.64221,31.601396,2018-06-30,Tippett RM
3445,ADU-UCT,http://vmus.adu.org.za/?vm=scorpionmap-3445,Hadogenes zuluanus,South Africa,KwaZulu-Natal,UMkhuze Game Reserve,-27.64319,32.148433,2018-09-19,Bester Paul
